"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",708.602169691234,-0.381253887429321,0.100654430185284,-3.7877506904317,0.000152017272594229,0.00128292609723785
"ENSG00000000971",5817.35286765231,0.426402224666589,0.0883133782600969,4.8282857373066,1.37713398729511e-06,1.8204842394045e-05
"ENSG00000001036",1282.10638546592,-0.241071141809459,0.0887206434860726,-2.71719334235106,0.00658381349905911,0.0327699313884108
"ENSG00000001167",369.342807845239,-0.500364060039522,0.120879930506755,-4.13934768114019,3.48294760859948e-05,0.000342179662005155
"ENSG00000001617",598.668142741294,-0.250237360690097,0.108280993862261,-2.31099985107647,0.0208328631198749,0.0821191266011606
"ENSG00000001629",1779.82871935893,-0.226673505049417,0.08061962593612,-2.81164173633135,0.00492893693678967,0.0258478630800647
"ENSG00000002834",7168.82575403564,0.396642638270004,0.0929191645175332,4.26868494060943,1.9662876373663e-05,0.000206942585572816
"ENSG00000002919",250.508248733712,0.404389935451247,0.140172365201345,2.88494764906319,0.00391478754483122,0.0212587829966151
"ENSG00000002933",540.269559761662,0.361036731168691,0.146414297159526,2.46585707934876,0.0136685860451182,0.0588101833620866
"ENSG00000003096",377.977300973334,-0.940978768765616,0.143800821792876,-6.54362580848777,6.0044926444889e-11,1.5131321464112e-09
"ENSG00000003137",104.516320058985,-0.896585705551131,0.292592645758404,-3.06427970268073,0.00218194806124328,0.0129947584788021
"ENSG00000003402",2546.61419680864,1.19043257875724,0.120621212416861,9.86918100808973,5.66250422313314e-23,4.81259439115155e-21
"ENSG00000003987",25.5043187098086,1.00480553319746,0.372656704487551,2.69633021785879,0.00701081273173102,0.0345611009029629
"ENSG00000004059",1225.35425318088,0.36658776154741,0.0882774134150748,4.15267900775182,3.28605522215755e-05,0.000325319466993598
"ENSG00000004487",1237.79987702344,-0.299509069024654,0.0876460188597272,-3.41725811304678,0.000632552768254403,0.00451379634788429
"ENSG00000004700",1035.33054232716,0.368589521968898,0.101689973372249,3.62463977269057,0.000289364493303058,0.00227476851672535
"ENSG00000004799",914.379014067715,2.64493111947607,0.628564637752677,4.20789042306383,2.57765799439594e-05,0.000263140179847173
"ENSG00000004846",17.9991680687101,-1.69783433138054,0.557865845451222,-3.04344556173226,0.00233885753637388,0.0137942831719753
"ENSG00000004866",412.129049598094,-0.562108171004671,0.136173863092671,-4.12787122461334,3.66137049805372e-05,0.000358925863079064
"ENSG00000004975",991.984168983081,-0.320057859306262,0.0975310333145375,-3.28160020897221,0.00103219840108469,0.00688310539997923
"ENSG00000005007",2261.97159931419,0.239248559315001,0.0828300855240587,2.88842583949173,0.003871753152845,0.0210568211011051
"ENSG00000005100",485.155503010875,0.360876227728082,0.132173759064382,2.73031674579445,0.00632734999358602,0.0317300841036551
"ENSG00000005156",205.662658797684,-0.392720669828293,0.171807174295678,-2.28582229722507,0.0222646566905597,0.0865885137600917
"ENSG00000005249",298.031602932061,0.607377644117308,0.180893205545371,3.3576586930733,0.000786056074308085,0.00545366128104855
"ENSG00000005471",33.6639882396994,-1.12005274549103,0.357469264909124,-3.13328404828251,0.00172862067703061,0.0106265054106917
"ENSG00000005812",1409.31948532894,0.468871008294741,0.111440777652016,4.20735585459421,2.58376106862131e-05,0.000263464668559246
"ENSG00000005884",1284.66402414799,0.348576125850568,0.127147646472596,2.74150670909743,0.00611581117651738,0.0308236883296476
"ENSG00000006025",160.284813182945,-0.949124314560467,0.179279597839953,-5.29410109123388,1.19603260372546e-07,1.93621881886121e-06
"ENSG00000006062",196.878532478252,-0.698323761286336,0.196540025500868,-3.55308675424617,0.00038073887970681,0.00288848553033991
"ENSG00000006114",995.873717984987,-0.51326288563832,0.09576053195341,-5.35985833796366,8.32872356445105e-08,1.37929173882609e-06
"ENSG00000006118",433.935954113551,-0.502497123496808,0.119537115214541,-4.20369123510254,2.62597092739468e-05,0.000267466049574886
"ENSG00000006283",62.9602514242751,-1.46690775413144,0.286728907406395,-5.11600929044913,3.12067695920458e-07,4.68179495844698e-06
"ENSG00000006451",1095.51669885864,-0.557710989486882,0.117393359605861,-4.75078821629565,2.02625263083792e-06,2.60406704011681e-05
"ENSG00000006534",1142.48962342155,0.449242922663146,0.117420780246993,3.82592350108872,0.00013028274646459,0.00111623134845411
"ENSG00000006576",1070.42524442213,-0.430190376639616,0.0967607019267953,-4.44592037958838,8.75163601232492e-06,9.95498596401959e-05
"ENSG00000006607",877.942000942181,0.597962706479493,0.115865289302002,5.16084420176009,2.45838711850198e-07,3.76660026370483e-06
"ENSG00000006638",65.7531749722519,-0.644347962256634,0.242397026467763,-2.65823377310417,0.00785513847870005,0.0379549168970817
"ENSG00000006788",10.2533800835302,3.20685038711799,0.905078053811199,3.54317550139929,0.00039533951255528,0.00297420765645972
"ENSG00000006831",1093.98214371166,0.242215167530241,0.0930096137290974,2.60419496242318,0.0092090355103715,0.043075909092906
"ENSG00000007237",427.013218754781,-1.40485059648434,0.190099443923627,-7.39008261933026,1.46737608000311e-13,5.17400826017534e-12
"ENSG00000007866",1619.47548903829,0.595621264296866,0.085705863303033,6.94959762777149,3.66329540323778e-12,1.07151390544705e-10
"ENSG00000007944",339.643688264593,-0.497639725718294,0.124079689186051,-4.0106461338093,6.05528080227485e-05,0.000564428605770244
"ENSG00000008083",301.247719397731,0.441538085436278,0.146219615718831,3.01969119030733,0.00253032533559764,0.0147544989957276
"ENSG00000008130",1664.47375702091,0.776177922238948,0.124554733658082,6.23162122741678,4.61632554296749e-10,1.05688632316631e-08
"ENSG00000008256",3716.57738197619,1.18340129471698,0.103230367667025,11.4636934989334,2.00766500254391e-30,2.74046272847243e-28
"ENSG00000008282",1964.62740873393,0.279886465372226,0.106542543054654,2.62699253601119,0.0086143223570099,0.0408669984804119
"ENSG00000008311",721.942089206498,1.09570635471937,0.107933436346806,10.1516860002372,3.25687518112801e-24,3.10488767267537e-22
"ENSG00000008324",121.814743206551,0.538565112057085,0.21471751597879,2.50824954639603,0.0121330946506677,0.0536344699253511
"ENSG00000008441",10802.2649474509,-0.326406135241013,0.0695421820834307,-4.69364241187341,2.68383001187243e-06,3.36984314661445e-05
"ENSG00000008513",1568.49022726857,-0.595138113641057,0.0970242789129697,-6.13390916488947,8.57454894364747e-10,1.91682658643474e-08
"ENSG00000008517",182.662530647809,-0.748972353967018,0.19243757458011,-3.8920276125972,9.94099275006978e-05,0.00087888521771716
"ENSG00000008710",5426.4748906373,0.480380015884583,0.129261468471282,3.7163434824455,0.000202126756554988,0.00164942024438758
"ENSG00000008853",558.505610561996,0.547692609756882,0.119557528575452,4.58099641471961,4.6276577796315e-06,5.56988228947231e-05
"ENSG00000009335",2101.66872676796,0.207645948498636,0.0804523461188629,2.58098064899007,0.0098520104013588,0.0455162880542776
"ENSG00000009413",7584.98097699964,1.09556065315482,0.126065609018664,8.69040067059549,3.61163464759446e-18,2.00229024862637e-16
"ENSG00000009780",174.392845904975,0.566359112078744,0.179937917772476,3.14752509693305,0.00164658970227211,0.0101857123793919
"ENSG00000010017",1856.34455429236,0.720836745322009,0.12448285967887,5.79065059383728,7.0114300562885e-09,1.37766572251043e-07
"ENSG00000010256",1795.21830004503,0.472146054985766,0.0932286317564936,5.06438897675745,4.09712326459546e-07,6.00666940451432e-06
"ENSG00000010278",3881.37270015337,0.569701709223019,0.0963322485416477,5.91392516885679,3.34049695891927e-09,6.8866217626782e-08
"ENSG00000010310",14.3214814643565,-1.12696200723902,0.50372678946164,-2.23724850616635,0.025270102694101,0.0956949790547103
"ENSG00000010322",2566.22703092151,-0.264449337165561,0.0814159962283672,-3.24812505424359,0.00116168201966935,0.00758651200811971
"ENSG00000010818",1411.20251251096,-0.355743157782769,0.0929616756124657,-3.82677222026176,0.000129834553565493,0.00111292054526311
"ENSG00000011028",16641.6096256775,-0.220448070598943,0.078759806610374,-2.79899202507573,0.00512624035094214,0.0267104102496459
"ENSG00000011105",3557.52000705543,0.289197227675821,0.0881563746629486,3.28050272917323,0.00103622262269919,0.00689972624382631
"ENSG00000011198",1159.4037990956,1.12504517708498,0.176903625654115,6.35965019329046,2.02213722331003e-10,4.83221067501327e-09
"ENSG00000011258",368.764051351039,-0.304585785219814,0.131950789714868,-2.30832862674026,0.0209808654010502,0.0825423687932306
"ENSG00000011304",3588.89945478115,0.351080581738008,0.0784916138427869,4.47284193240309,7.71868350400025e-06,8.88659676518061e-05
"ENSG00000011347",148.300234191735,-0.913738847097463,0.198705554034272,-4.59845650283064,4.25632554214572e-06,5.16434165780347e-05
"ENSG00000011405",1505.09910521099,0.356136741708569,0.0848853023940485,4.19550536623332,2.72263840052947e-05,0.000276085400089475
"ENSG00000011454",2319.16725007544,0.427412938138608,0.11225148230831,3.80763736343967,0.000140300809671894,0.00119061350537671
"ENSG00000011478",141.609713043936,0.685889039718071,0.174799548245876,3.92386048248414,8.7141213085109e-05,0.000781149441476365
"ENSG00000011485",966.624110056938,0.548603936569797,0.10583708289438,5.1834755982199,2.1778873422946e-07,3.36545232705525e-06
"ENSG00000011566",1396.12427396555,0.80814821755794,0.102137382706633,7.91236466161629,2.52545352674653e-15,1.06069048123354e-13
"ENSG00000012048",221.111604295128,-1.21040409925358,0.170006708907592,-7.11974313855754,1.0812838351076e-12,3.40009985008181e-11
